,brent
2023-11-20,81.97
2023-11-21,81.86
2023-11-22,81.65
2023-11-23,81.54
2023-11-24,81.58
2023-11-27,81.17
2023-11-28,80.89
2023-11-29,80.74
2023-11-30,80.41
2023-12-01,80.22
2023-12-04,79.69
2023-12-05,79.61
2023-12-06,79.52
2023-12-07,79.28
2023-12-08,79.36
2023-12-11,79.1
2023-12-12,79.13
2023-12-13,79.1
2023-12-14,79.11
2023-12-15,78.87
2023-12-18,78.8
2023-12-19,78.78
2023-12-20,78.64
2023-12-21,78.62
2023-12-22,78.52
2023-12-25,78.15
2023-12-26,77.97
2023-12-27,77.94
2023-12-28,77.88
2023-12-29,78.02
2024-01-01,78.11
2024-01-02,78.09
2024-01-03,78.17
2024-01-04,78.33
2024-01-05,78.41
2024-01-08,78.72
2024-01-09,78.88
2024-01-10,78.82
2024-01-11,79.01
2024-01-12,79.13
2024-01-15,79.01
2024-01-16,79.06
2024-01-17,78.95
2024-01-18,78.92
2024-01-19,78.9
2024-01-22,78.91
2024-01-23,79.2
2024-01-24,79.32
2024-01-25,79.29
2024-01-26,79.56
2024-01-29,79.61
2024-01-30,79.64
2024-01-31,79.66
2024-02-01,79.76
2024-02-02,80.05
2024-02-05,80.11
2024-02-06,80.28
2024-02-07,80.24
2024-02-08,80.41
2024-02-09,80.6
2024-02-12,80.55
2024-02-13,80.63
2024-02-14,80.55
2024-02-15,80.58
2024-02-16,80.48
2024-02-19,80.53
2024-02-20,80.67
2024-02-21,80.74
2024-02-22,80.87
2024-02-23,80.63
2024-02-26,80.77
2024-02-27,80.7
2024-02-28,80.61
2024-02-29,80.85
2024-03-01,80.75
2024-03-04,80.89
2024-03-05,81.01
2024-03-06,81.04
2024-03-07,80.98
2024-03-08,81.03
2024-03-11,81.19
2024-03-12,81.22
2024-03-13,81.21
2024-03-14,81.07
2024-03-15,81.17
2024-03-18,81.05
2024-03-19,81.02
2024-03-20,81.08
2024-03-21,81.02
2024-03-22,81.09
2024-03-25,81.28
2024-03-26,81.28
2024-03-27,81.25
2024-03-28,81.3
2024-03-29,81.18
2024-04-01,81.33
2024-04-02,81.32
2024-04-03,81.38
2024-04-04,81.35
2024-04-05,81.53
2024-04-08,81.81
2024-04-09,81.86
2024-04-10,81.94
2024-04-11,81.77
2024-04-12,81.91
2024-04-15,81.91
2024-04-16,81.95
2024-04-17,81.94
2024-04-18,81.82
2024-04-19,81.73
2024-04-22,81.74
2024-04-23,81.94
2024-04-24,82.08
2024-04-25,81.88
2024-04-26,81.85
2024-04-29,81.67
2024-04-30,81.48
2024-05-01,81.46
2024-05-02,81.43
2024-05-03,81.23
2024-05-06,81.2
2024-05-07,81.09
2024-05-08,81.12
2024-05-09,81.11
2024-05-10,81.0
2024-05-13,81.03
2024-05-14,81.07
2024-05-15,81.14
2024-05-16,81.09
2024-05-17,81.07
2024-05-20,81.12
2024-05-21,81.29
2024-05-22,81.43
2024-05-23,81.47
2024-05-24,81.61
2024-05-27,81.8
2024-05-28,81.7
2024-05-29,81.6
2024-05-30,81.72
2024-05-31,81.76
2024-06-03,81.71
2024-06-04,81.89
2024-06-05,82.08
2024-06-06,81.61
2024-06-07,81.54
2024-06-10,81.54
2024-06-11,81.57
2024-06-12,81.55
2024-06-13,81.37
2024-06-14,81.24
2024-06-17,80.92
2024-06-18,80.73
2024-06-19,80.58
2024-06-20,80.54
2024-06-21,80.53
2024-06-24,80.64
2024-06-25,80.69
2024-06-26,80.65
2024-06-27,80.55
2024-06-28,80.23
2024-07-01,79.96
2024-07-02,80.08
2024-07-03,80.18
2024-07-04,80.1
2024-07-05,80.06
2024-07-08,79.93
2024-07-09,79.86
2024-07-10,79.91
2024-07-11,79.9
2024-07-12,79.85
2024-07-15,79.83
2024-07-16,79.91
2024-07-17,79.97
2024-07-18,79.7
2024-07-19,79.63
2024-07-22,79.52
2024-07-23,79.48
2024-07-24,79.38
2024-07-25,79.35
2024-07-26,79.35
2024-07-29,79.22
2024-07-30,79.05
2024-07-31,79.0
2024-08-01,79.08
2024-08-02,79.09
2024-08-05,78.92
2024-08-06,78.88
2024-08-07,78.89
2024-08-08,79.04
2024-08-09,78.75
2024-08-12,78.72
2024-08-13,78.76
2024-08-14,78.68
2024-08-15,78.62
2024-08-16,78.66
2024-08-19,78.47
2024-08-20,78.36
2024-08-21,78.48
2024-08-22,78.44
2024-08-23,78.55
2024-08-26,78.38
2024-08-27,78.52
2024-08-28,78.36
2024-08-29,78.3
2024-08-30,78.42
2024-09-02,78.49
2024-09-03,78.47
2024-09-04,78.16
2024-09-05,78.17
2024-09-06,78.23
2024-09-09,77.97
2024-09-10,77.89
2024-09-11,78.0
2024-09-12,77.94
2024-09-13,77.97
2024-09-16,77.84
2024-09-17,77.82
2024-09-18,77.76
2024-09-19,77.86
2024-09-20,77.82
2024-09-23,77.76
2024-09-24,77.74
2024-09-25,77.72
2024-09-26,77.77
2024-09-27,77.6
2024-09-30,77.74
2024-10-01,77.64
2024-10-02,77.75
2024-10-03,77.79
2024-10-04,77.82
2024-10-07,77.74
2024-10-08,77.77
2024-10-09,77.8
2024-10-10,77.72
2024-10-11,77.64
2024-10-14,77.55
2024-10-15,77.63
2024-10-16,77.43
2024-10-17,77.4
2024-10-18,77.26
2024-10-21,77.07
2024-10-22,76.92
2024-10-23,76.66
2024-10-24,76.54
2024-10-25,76.58
2024-10-28,76.51
2024-10-29,76.38
2024-10-30,76.16
2024-10-31,76.06
2024-11-01,76.07
2024-11-04,75.89
2024-11-05,75.91
2024-11-06,75.75
2024-11-07,75.73
2024-11-08,75.73
2024-11-11,75.62
2024-11-12,75.57
2024-11-13,75.48
2024-11-14,75.54
2024-11-15,75.39
2024-11-18,75.25
2024-11-19,75.25
2024-11-20,75.18
2024-11-21,75.15
2024-11-22,74.99
2024-11-25,74.76
2024-11-26,74.92
2024-11-27,74.86
2024-11-28,74.81
2024-11-29,74.96
2024-12-02,74.89
2024-12-03,75.06
2024-12-04,75.16
2024-12-05,75.04
2024-12-06,74.91
2024-12-09,74.83
2024-12-10,74.89
2024-12-11,74.86
2024-12-12,74.73
2024-12-13,74.83
2024-12-16,74.67
2024-12-17,74.69
2024-12-18,74.73
2024-12-19,74.77
2024-12-20,74.71
2024-12-23,74.61
2024-12-24,74.62
2024-12-25,74.44
2024-12-26,74.57
2024-12-27,74.62
