,usdrub
2023-11-17,86.82
2023-11-20,86.99
2023-11-21,87.06
2023-11-22,86.88
2023-11-23,87.0
2023-11-24,86.98
2023-11-27,87.07
2023-11-28,87.25
2023-11-29,87.25
2023-11-30,87.27
2023-12-01,87.46
2023-12-04,87.54
2023-12-05,87.63
2023-12-06,87.69
2023-12-07,87.68
2023-12-08,87.75
2023-12-11,87.78
2023-12-12,87.8
2023-12-13,87.94
2023-12-14,87.96
2023-12-15,88.01
2023-12-18,88.22
2023-12-19,88.36
2023-12-20,88.44
2023-12-21,88.47
2023-12-22,88.53
2023-12-25,88.54
2023-12-26,88.55
2023-12-27,88.48
2023-12-28,88.53
2023-12-29,88.58
2024-01-01,88.4
2024-01-02,88.6
2024-01-03,88.75
2024-01-04,88.74
2024-01-05,88.76
2024-01-08,88.75
2024-01-09,88.74
2024-01-10,88.68
2024-01-11,88.61
2024-01-12,88.78
2024-01-15,88.58
2024-01-16,88.47
2024-01-17,88.42
2024-01-18,88.29
2024-01-19,88.23
2024-01-22,88.34
2024-01-23,88.3
2024-01-24,88.23
2024-01-25,88.24
2024-01-26,88.43
2024-01-29,88.57
2024-01-30,88.68
2024-01-31,88.64
2024-02-01,88.59
2024-02-02,88.51
2024-02-05,88.38
2024-02-06,88.45
2024-02-07,88.34
2024-02-08,88.3
2024-02-09,88.26
2024-02-12,88.18
2024-02-13,88.1
2024-02-14,87.99
2024-02-15,88.01
2024-02-16,88.18
2024-02-19,88.27
2024-02-20,88.27
2024-02-21,88.23
2024-02-22,88.39
2024-02-23,88.37
2024-02-26,88.31
2024-02-27,88.26
2024-02-28,88.16
2024-02-29,88.14
2024-03-01,88.24
2024-03-04,88.16
2024-03-05,88.13
2024-03-06,88.23
2024-03-07,88.25
2024-03-08,88.24
2024-03-11,88.25
2024-03-12,88.24
2024-03-13,88.31
2024-03-14,88.32
2024-03-15,88.23
2024-03-18,88.22
2024-03-19,88.13
2024-03-20,88.2
2024-03-21,88.34
2024-03-22,88.4
2024-03-25,88.36
2024-03-26,88.52
2024-03-27,88.29
2024-03-28,88.32
2024-03-29,88.38
2024-04-01,88.5
2024-04-02,88.48
2024-04-03,88.41
2024-04-04,88.38
2024-04-05,88.47
2024-04-08,88.48
2024-04-09,88.43
2024-04-10,88.37
2024-04-11,88.38
2024-04-12,88.32
2024-04-15,88.36
2024-04-16,88.3
2024-04-17,88.42
2024-04-18,88.4
2024-04-19,88.22
2024-04-22,88.24
2024-04-23,88.3
2024-04-24,88.42
2024-04-25,88.33
2024-04-26,88.34
2024-04-29,88.28
2024-04-30,88.28
2024-05-01,88.4
2024-05-02,88.3
2024-05-03,88.38
2024-05-06,88.44
2024-05-07,88.42
2024-05-08,88.4
2024-05-09,88.24
2024-05-10,88.22
2024-05-13,88.16
2024-05-14,88.21
2024-05-15,88.17
2024-05-16,88.18
2024-05-17,88.22
2024-05-20,88.24
2024-05-21,88.33
2024-05-22,88.33
2024-05-23,88.39
2024-05-24,88.38
2024-05-27,88.41
2024-05-28,88.53
2024-05-29,88.57
2024-05-30,88.53
2024-05-31,88.49
2024-06-03,88.45
2024-06-04,88.52
2024-06-05,88.58
2024-06-06,88.63
2024-06-07,88.48
2024-06-10,88.72
2024-06-11,88.75
2024-06-12,88.77
2024-06-13,88.82
2024-06-14,88.88
2024-06-17,88.92
2024-06-18,89.05
2024-06-19,88.96
2024-06-20,88.99
2024-06-21,89.09
2024-06-24,89.2
2024-06-25,89.16
2024-06-26,89.15
2024-06-27,89.26
2024-06-28,89.19
2024-07-01,89.3
2024-07-02,89.28
2024-07-03,89.29
2024-07-04,89.27
2024-07-05,89.39
2024-07-08,89.82
2024-07-09,89.91
2024-07-10,90.09
2024-07-11,90.09
2024-07-12,90.16
2024-07-15,90.37
2024-07-16,90.51
2024-07-17,90.58
2024-07-18,90.59
2024-07-19,90.65
2024-07-22,90.68
2024-07-23,90.59
2024-07-24,90.6
2024-07-25,90.76
2024-07-26,90.92
2024-07-29,91.26
2024-07-30,91.23
2024-07-31,91.32
2024-08-01,91.37
2024-08-02,91.41
2024-08-05,91.59
2024-08-06,91.71
2024-08-07,91.8
2024-08-08,91.93
2024-08-09,91.83
2024-08-12,91.97
2024-08-13,92.1
2024-08-14,92.09
2024-08-15,92.13
2024-08-16,92.19
2024-08-19,92.41
2024-08-20,92.4
2024-08-21,92.53
2024-08-22,92.43
2024-08-23,92.37
2024-08-26,92.42
2024-08-27,92.36
2024-08-28,92.56
2024-08-29,92.59
2024-08-30,92.67
2024-09-02,92.86
2024-09-03,93.12
2024-09-04,93.14
2024-09-05,93.22
2024-09-06,93.24
2024-09-09,93.35
2024-09-10,93.51
2024-09-11,93.58
2024-09-12,93.74
2024-09-13,93.75
2024-09-16,93.95
2024-09-17,93.97
2024-09-18,93.98
2024-09-19,94.08
2024-09-20,94.15
2024-09-23,94.26
2024-09-24,94.51
2024-09-25,94.42
2024-09-26,94.37
2024-09-27,94.45
2024-09-30,94.66
2024-10-01,94.52
2024-10-02,94.55
2024-10-03,94.52
2024-10-04,94.75
2024-10-07,94.98
2024-10-08,95.13
2024-10-09,95.26
2024-10-10,95.3
2024-10-11,95.35
2024-10-14,95.46
2024-10-15,95.5
2024-10-16,95.71
2024-10-17,95.87
2024-10-18,95.94
2024-10-21,96.16
2024-10-22,96.21
2024-10-23,96.36
2024-10-24,96.36
2024-10-25,96.4
2024-10-28,96.45
2024-10-29,96.53
2024-10-30,96.57
2024-10-31,96.85
2024-11-01,97.0
2024-11-04,97.23
2024-11-05,97.24
2024-11-06,97.41
2024-11-07,97.45
2024-11-08,97.66
2024-11-11,97.93
2024-11-12,97.81
2024-11-13,97.92
2024-11-14,97.95
2024-11-15,97.96
2024-11-18,98.07
2024-11-19,98.02
2024-11-20,98.05
2024-11-21,98.19
2024-11-22,98.38
2024-11-25,98.51
2024-11-26,98.56
2024-11-27,98.75
2024-11-28,98.82
2024-11-29,98.88
2024-12-02,99.16
2024-12-03,99.21
2024-12-04,99.0
2024-12-05,99.08
2024-12-06,98.95
2024-12-09,99.16
2024-12-10,99.24
2024-12-11,99.38
2024-12-12,99.31
2024-12-13,99.29
2024-12-16,99.48
2024-12-17,99.38
2024-12-18,99.26
2024-12-19,99.35
2024-12-20,99.25
2024-12-23,99.39
2024-12-24,99.49
2024-12-25,99.35
2024-12-26,99.4
2024-12-27,99.37
